k,codigo,h,mae
0,390/208,4,0.1154779815673832
0,390/208,5,0.6555976486206054
0,390/208,6,0.37239482879638697
0,390/208,7,0.3614309692382811
0,390/208,8,0.1330378723144534
0,390/208,9,0.21666608810424837
0,390/208,10,0.07096363067626932
0,390/208,11,0.15433164596557614
0,390/208,12,0.4978175735473629
0,391/243,1,0.3257104539871216
0,391/243,2,0.9004712295532227
0,391/243,3,0.6439269447326659
0,391/243,4,0.4201156711578369
0,391/243,5,0.21945230484008782
0,391/243,6,0.2809528446197511
0,391/243,7,0.4717543983459471
0,391/243,8,0.33457480430603015
0,391/243,9,0.32996143341064466
0,391/243,10,0.05720461845397962
0,391/243,11,0.5272867870330811
0,391/243,12,0.6967668437957766
0,391/33,1,0.08106479644775355
0,391/33,2,0.4709959030151367
0,391/33,3,0.6574494361877443
0,391/33,4,0.5385231590270996
0,391/33,5,0.5979169845581058
0,391/33,12,1.4036442947387702
0,391/437,1,0.2800902557373046
0,391/437,2,0.3298590087890627
0,391/437,4,0.12736686706542955
0,391/437,11,0.002555046081543111
0,404/69,1,0.10597616195678672
0,404/69,3,0.4319828224182132
0,404/69,4,0.7287488555908204
0,404/69,10,0.6720312118530272
0,405/17,1,0.05536424398422246
0,405/17,2,0.011854860782623322
0,405/17,4,0.2041862821578979
0,405/17,5,0.07576690673828135
0,405/17,12,0.11186513900756834
0,405/34,1,0.8199400758743286
0,405/34,8,0.9098311614990235
0,405/34,9,0.3715439987182618
0,405/34,10,0.37738683700561526
0,405/34,12,0.790009241104126
0,418/15,1,0.03354831695556637
0,418/15,2,0.19055894374847415
0,418/15,3,0.09977964162826536
0,418/15,4,0.1895501923561096
0,418/15,5,0.8440473198890686
0,418/15,12,1.2196530556678773
0,418/4,1,0.11781223297119148
0,418/4,2,0.13358416557312003
0,418/4,3,0.3380680561065672
0,418/4,4,0.37924017906188956
0,418/4,5,0.35257435798645
0,418/4,7,0.2849385547637939
0,418/4,11,0.6348554611206056
0,418/4,12,0.7214046764373778
1,330/183,1,0.2743458986282348
1,330/183,2,0.24206863403320322
1,330/183,3,0.09593169689178471
1,330/183,4,0.2095444154739381
1,330/183,5,0.35354514122009273
1,330/183,6,0.744119873046875
1,331/2,1,0.21936986923217816
1,331/2,3,0.29920404434204073
1,331/2,4,0.6207998085021975
1,331/2,5,0.315512828826904
1,331/2,7,0.4462954330444333
1,331/2,8,1.1558578300476077
1,331/2,9,0.532648401260376
1,331/2,10,0.4402526187896729
1,331/2,11,0.8784250831604004
1,341/17,1,0.3114677619934083
1,341/17,2,0.41735820770263654
1,341/17,3,0.32071781158447266
1,341/17,4,0.1481893539428718
1,341/17,5,0.11771530151367138
1,341/17,6,0.3749596595764153
1,341/17,7,0.5325602531433109
1,341/17,8,0.3034441184997556
1,341/17,9,0.5715439796447752
1,341/17,10,0.9275687408447268
1,341/17,11,0.7889221572875975
1,341/17,12,0.5733576965332032
1,342/78,1,0.43349649429321246
1,342/78,2,4.629636659622192
1,342/78,3,1.8547808265686037
1,342/78,4,0.8240123176574707
1,342/78,5,1.020076036453247
1,342/78,6,0.2872928333282472
1,342/78,7,0.07556120395660404
1,342/78,8,0.19065048694610598
1,342/78,9,1.0069192814826966
1,342/78,10,0.9435400104522706
1,342/78,11,1.3938499760627745
1,342/78,12,1.475471019744873
1,342/97,1,1.205642642974854
1,342/97,2,0.8756099128723145
1,342/97,3,0.3605543518066403
1,342/97,4,0.8211228370666506
1,342/97,5,0.03416755676269556
1,342/97,6,1.0484526634216307
1,342/97,7,1.3811686706542972
1,342/97,8,0.3740884399414064
1,342/97,9,1.192505512237549
1,342/97,10,0.7595010375976559
1,342/97,11,1.2673526573181153
1,342/97,12,1.198749294281006
1,377/54,1,3.6626109123229984
1,377/54,2,1.7488231658935547
1,377/54,3,0.4732322692871094
1,377/54,4,0.5370710372924803
1,377/54,5,0.6165186882019045
1,377/54,6,0.9859311103820803
1,377/54,7,0.6365857982635497
1,377/54,8,0.38723964691162127
1,377/54,9,0.7589591979980468
1,377/54,10,0.08386034965515154
1,377/54,11,0.8417946815490724
1,377/54,12,0.9924139022827152
1,377/84,1,0.0804236412048338
1,377/84,2,0.06312793731689492
1,377/84,3,0.4917527770996095
1,377/84,4,0.2508986282348631
1,377/84,5,0.6522251129150387
1,377/84,6,0.8584623336791992
1,377/84,7,2.908436870574951
1,377/84,8,2.035955238342286
1,377/84,9,1.8023115158081051
1,377/84,10,1.3842752456665037
1,377/84,11,0.34696989059448224
1,377/84,12,1.3091106414794922
1,377/86,1,0.31466426849365225
1,377/86,2,0.12132123947143558
1,377/86,3,0.3002431964874268
1,377/86,4,0.7309655952453613
1,377/86,5,1.2074646949768066
1,377/86,6,0.182298202514648
1,377/94,1,0.0638427734375
1,377/94,2,0.12899450302124027
1,377/94,3,0.1200278568267823
1,377/94,4,0.26285027503967306
1,377/94,5,0.2858077716827392
1,377/94,6,0.2927835369110108
1,390/208,1,0.456759986877441
1,390/208,2,0.2238464927673336
1,390/208,3,0.6345392799377443
1,390/208,4,1.1561917877197265
1,390/208,5,0.16950326919555625
1,390/208,6,1.1993536567687988
1,390/208,7,0.6841738510131838
1,390/208,8,0.06503025054931655
1,390/208,9,0.1925171089172366
1,390/208,10,0.3020399665832523
1,390/208,11,0.08113456726074197
1,390/208,12,0.17948051452636715
1,391/243,1,0.9508325386047363
1,391/243,2,0.536078176498413
1,391/243,3,0.10551856040954588
1,391/243,4,0.011856164932250834
1,391/243,5,0.3123829746246338
1,391/243,6,0.26447494506835945
1,391/243,7,0.7765912151336671
1,391/243,8,0.12110194206237779
1,391/243,9,0.12489090919494616
1,391/243,10,0.3314918422698976
1,391/243,11,0.16596375465393054
1,391/243,12,0.21963645935058596
1,391/33,1,0.014301261901856321
1,391/33,2,0.09126052856445277
1,391/33,3,0.33535003662109375
1,391/33,4,0.6200625419616701
1,391/33,5,0.6053785896301269
1,391/33,6,0.6354326248168949
1,391/437,1,0.3281920242309564
1,391/437,3,0.38948337554931634
1,391/437,4,0.2985594177246096
1,391/437,6,0.09508308410644517
1,404/69,1,0.16434198379516562
1,404/69,3,0.3923738670349124
1,404/69,4,0.7315936660766602
1,405/17,1,0.09709758043289185
1,405/17,2,0.0023525881767273438
1,405/17,3,0.04068932294845584
1,405/17,5,0.1416410422325134
1,405/17,6,0.06064151287078867
1,405/34,1,0.010442414283752477
1,405/34,2,0.7683253145217895
1,405/34,9,0.9309202384948732
1,405/34,10,0.4368289661407472
1,405/34,11,0.4011528778076172
1,418/15,1,0.17312222242355346
1,418/15,2,0.14727123737335202
1,418/15,3,0.20499661922454837
1,418/15,4,0.06125507354736326
1,418/15,5,0.18189689636230466
1,418/15,6,0.8138310432434082
1,418/4,1,0.25378187179565437
1,418/4,2,0.2205697536468505
1,418/4,3,0.335453677177429
1,418/4,4,0.3845130443572997
1,418/4,5,0.36172343254089334
1,418/4,7,0.24716065406799315
1,418/4,11,0.6285541772842409
2,330/183,1,0.12583533287048332
2,330/183,2,0.044112539291381925
2,330/183,3,0.026113762855529687
2,330/183,4,0.0895661592483521
2,330/183,5,0.255500192642212
2,330/183,6,0.3667908430099487
2,330/183,7,0.7524039649963379
2,331/2,1,0.2902453613281253
2,331/2,3,0.06848333358764691
2,331/2,5,0.293413333892822
2,331/2,6,0.6232383537292483
2,331/2,7,0.3446738052368161
2,331/2,9,0.5066038894653317
2,331/2,10,1.1641269016265872
2,331/2,11,0.5347710418701173
2,331/2,12,0.426421241760254
2,341/17,1,0.12158979415893523
2,341/17,2,0.282247657775879
2,341/17,3,0.44555931091308576
2,341/17,4,0.29031944274902344
2,341/17,5,0.18606929779052805
2,341/17,6,0.1128963851928706
2,341/17,7,0.4272634506225579
2,341/17,8,0.771987342834473
2,341/17,9,0.5969569396972654
2,341/17,10,0.6610119819641112
2,341/17,11,1.0361817550659183
2,341/17,12,0.7957423591613768
2,342/78,1,0.7951577949523925
2,342/78,2,0.5330712604522709
2,342/78,3,3.6872338199615475
2,342/78,4,1.5667420959472658
2,342/78,5,0.784102954864502
2,342/78,6,1.0214014053344727
2,342/78,7,0.4462794017791749
2,342/78,8,0.2573181009292602
2,342/78,9,0.438477897644043
2,342/78,10,0.9473618435859681
2,342/78,11,0.9400943851470949
2,342/78,12,1.6864671778678892
2,342/97,1,0.87867115020752
2,342/97,2,0.9659480476379398
2,342/97,3,0.5022149467468262
2,342/97,4,0.2641149902343747
2,342/97,5,0.5713865280151369
2,342/97,6,0.05141756057739233
2,342/97,7,0.9261167526245115
2,342/97,8,1.4424765777587893
2,342/97,9,0.3260242080688478
2,342/97,10,1.0115992164611818
2,342/97,11,0.7495499229431148
2,342/97,12,1.203525619506836
2,377/54,1,1.3685676574707033
2,377/54,2,4.373636627197266
2,377/54,3,1.2254581451416016
2,377/54,4,0.4245481491088867
2,377/54,5,0.6119006156921385
2,377/54,6,0.8716036796569826
2,377/54,7,1.2297832489013674
2,377/54,8,0.5595692062377928
2,377/54,9,0.36563153266906756
2,377/54,10,0.7440141677856444
2,377/54,11,0.15579171180725115
2,377/54,12,0.835455369949341
2,377/84,1,0.22548036575317365
2,377/84,2,0.26548643112182635
2,377/84,3,0.06956047058105508
2,377/84,4,0.5198103523254396
2,377/84,5,0.3587982940673826
2,377/84,6,0.6100932121276852
2,377/84,7,0.8068127632141113
2,377/84,8,2.908373928070068
2,377/84,9,2.085825729370118
2,377/84,10,1.7670064926147457
2,377/84,11,1.2988098144531248
2,377/84,12,0.3343284606933592
2,377/86,1,0.21270449638366706
2,377/86,2,0.17771782875061026
2,377/86,3,0.025839366912841832
2,377/86,4,0.37968331336975103
2,377/86,5,0.7287244606018066
2,377/86,6,1.1799468994140625
2,377/86,7,0.16527702331542926
2,377/94,1,0.1156754207611086
2,377/94,2,0.01896524429321289
2,377/94,3,0.15541676521301273
2,377/94,4,0.13489492416381843
2,377/94,5,0.2820317649841311
2,377/94,6,0.31050316810607903
2,377/94,7,0.33850864410400394
2,390/208,1,0.26845937728881797
2,390/208,2,0.5220795249938961
2,390/208,3,0.22094350814819297
2,390/208,4,0.6543790435791017
2,390/208,5,1.202544174194336
2,390/208,6,0.2576737976074215
2,390/208,7,1.482341251373291
2,390/208,8,0.7087710189819338
2,390/208,9,0.04826227188110366
2,390/208,10,0.12002784729003935
2,390/208,11,0.3420547103881839
2,390/208,12,0.07377553939819315
2,391/243,1,0.030277624130248926
2,391/243,2,1.0155100154876708
2,391/243,3,0.6164710140228271
2,391/243,4,0.3256010818481445
2,391/243,5,0.23661223411560073
2,391/243,6,0.45417193412780765
2,391/243,7,0.33033354759216316
2,391/243,8,0.7393085098266603
2,391/243,9,0.10382756233215318
2,391/243,10,0.12140332221984851
2,391/243,11,0.30374373435974134
2,391/243,12,0.17688857078552234
2,391/33,1,0.8507829284667974
2,391/33,2,0.6561498260498055
2,391/33,3,0.7370267868041989
2,391/33,4,0.6820602416992188
2,391/33,5,0.9532205581665041
2,391/33,6,0.8228792762756347
2,391/33,7,1.00890007019043
2,391/437,1,0.1680351638793951
2,391/437,2,0.21316078186035092
2,391/437,4,0.34157077789306634
2,391/437,5,0.3377439880371096
2,391/437,7,0.06988224029541001
2,404/69,1,0.11678081512451133
2,404/69,3,0.42843896865844755
2,404/69,4,0.6636825180053711
2,405/17,1,0.12193567037582398
2,405/17,2,0.16685367107391358
2,405/17,3,0.01167356252670293
2,405/17,4,0.017429802417755158
2,405/17,6,0.17222627162933346
2,405/17,7,0.026053056716919043
