"data","localizacao","caudal_médio_diário(m3/s)","coord_x_m","coord_y_m"
1974-06-19,ALMOUROL (17G/02H),"218.00",179148.403,276991.639
1974-06-20,ALMOUROL (17G/02H),"219.00",179148.403,276991.639
1974-06-21,ALMOUROL (17G/02H),"258.50",179148.403,276991.639
1974-06-26,ALMOUROL (17G/02H),"189.60",179148.403,276991.639
1974-06-29,ALMOUROL (17G/02H),"211.10",179148.403,276991.639
1974-06-30,ALMOUROL (17G/02H),"176.60",179148.403,276991.639
1974-07-01,ALMOUROL (17G/02H),"128.50",179148.403,276991.639
1974-07-02,ALMOUROL (17G/02H),"86.10",179148.403,276991.639
1974-07-03,ALMOUROL (17G/02H),"38.10",179148.403,276991.639
1974-07-04,ALMOUROL (17G/02H),"31.60",179148.403,276991.639
1974-07-05,ALMOUROL (17G/02H),"38.60",179148.403,276991.639
1974-07-06,ALMOUROL (17G/02H),"28.00",179148.403,276991.639
1974-07-07,ALMOUROL (17G/02H),"20.20",179148.403,276991.639
1974-07-08,ALMOUROL (17G/02H),"16.70",179148.403,276991.639
1974-07-09,ALMOUROL (17G/02H),"23.40",179148.403,276991.639
1974-07-10,ALMOUROL (17G/02H),"48.80",179148.403,276991.639
1974-07-11,ALMOUROL (17G/02H),"92.50",179148.403,276991.639
1974-07-12,ALMOUROL (17G/02H),"92.10",179148.403,276991.639
1974-07-13,ALMOUROL (17G/02H),"51.10",179148.403,276991.639
1974-07-14,ALMOUROL (17G/02H),"18.50",179148.403,276991.639
1974-07-15,ALMOUROL (17G/02H),"44.90",179148.403,276991.639
1974-07-16,ALMOUROL (17G/02H),"52.20",179148.403,276991.639
1974-07-17,ALMOUROL (17G/02H),"64.30",179148.403,276991.639
1974-07-18,ALMOUROL (17G/02H),"57.20",179148.403,276991.639
1974-07-19,ALMOUROL (17G/02H),"59.30",179148.403,276991.639
1974-07-20,ALMOUROL (17G/02H),"27.90",179148.403,276991.639
1974-07-21,ALMOUROL (17G/02H),"44.50",179148.403,276991.639
1974-07-22,ALMOUROL (17G/02H),"47.40",179148.403,276991.639
1974-07-23,ALMOUROL (17G/02H),"72.00",179148.403,276991.639
1974-07-24,ALMOUROL (17G/02H),"59.10",179148.403,276991.639
1974-07-25,ALMOUROL (17G/02H),"83.50",179148.403,276991.639
1974-07-26,ALMOUROL (17G/02H),"101.30",179148.403,276991.639
1974-07-27,ALMOUROL (17G/02H),"104.10",179148.403,276991.639
1974-07-28,ALMOUROL (17G/02H),"95.30",179148.403,276991.639
1974-07-29,ALMOUROL (17G/02H),"77.10",179148.403,276991.639
1974-07-30,ALMOUROL (17G/02H),"69.40",179148.403,276991.639
1974-07-31,ALMOUROL (17G/02H),"95.60",179148.403,276991.639
1974-08-01,ALMOUROL (17G/02H),"91.90",179148.403,276991.639
1974-08-02,ALMOUROL (17G/02H),"52.10",179148.403,276991.639
1974-08-03,ALMOUROL (17G/02H),"42.60",179148.403,276991.639
1974-08-04,ALMOUROL (17G/02H),"65.50",179148.403,276991.639
1974-08-05,ALMOUROL (17G/02H),"96.10",179148.403,276991.639
1974-08-06,ALMOUROL (17G/02H),"64.70",179148.403,276991.639
1974-08-07,ALMOUROL (17G/02H),"69.30",179148.403,276991.639
1974-08-08,ALMOUROL (17G/02H),"50.60",179148.403,276991.639
1974-08-09,ALMOUROL (17G/02H),"50.20",179148.403,276991.639
1974-08-10,ALMOUROL (17G/02H),"58.60",179148.403,276991.639
1974-08-11,ALMOUROL (17G/02H),"61.40",179148.403,276991.639
1974-08-12,ALMOUROL (17G/02H),"52.50",179148.403,276991.639
1974-08-13,ALMOUROL (17G/02H),"73.40",179148.403,276991.639
1974-08-14,ALMOUROL (17G/02H),"79.30",179148.403,276991.639
1974-08-15,ALMOUROL (17G/02H),"81.30",179148.403,276991.639
1974-08-16,ALMOUROL (17G/02H),"83.50",179148.403,276991.639
1974-08-17,ALMOUROL (17G/02H),"80.70",179148.403,276991.639
1974-08-18,ALMOUROL (17G/02H),"65.50",179148.403,276991.639
1974-08-19,ALMOUROL (17G/02H),"44.80",179148.403,276991.639
1974-08-20,ALMOUROL (17G/02H),"44.60",179148.403,276991.639
1974-08-21,ALMOUROL (17G/02H),"62.30",179148.403,276991.639
1974-08-22,ALMOUROL (17G/02H),"82.00",179148.403,276991.639
1974-08-23,ALMOUROL (17G/02H),"61.20",179148.403,276991.639
1974-08-24,ALMOUROL (17G/02H),"62.40",179148.403,276991.639
1974-08-25,ALMOUROL (17G/02H),"52.90",179148.403,276991.639
1974-08-26,ALMOUROL (17G/02H),"53.70",179148.403,276991.639
1974-08-27,ALMOUROL (17G/02H),"76.80",179148.403,276991.639
