site_id,site_label,freq_label,missing_count,missing_first_5
218350.0_148770.0,405/51 | 218350.0_148770.0,34.0d,174,"1979-11-01 00:00:00+00:00, 1979-12-01 00:00:00+00:00, 1980-01-01 00:00:00+00:00, 1980-02-01 00:00:00+00:00, 1980-03-01 00:00:00+00:00"
218850.0_137650.0,405/70 | 218850.0_137650.0,monthly,45,"1987-11-01 00:00:00+00:00, 1987-12-01 00:00:00+00:00, 1988-01-01 00:00:00+00:00, 1988-02-01 00:00:00+00:00, 1988-03-01 00:00:00+00:00"
218952.4_137569.9,405/67 | 218952.4_137569.9,daily,9008,"1987-05-02 00:00:00+00:00, 1987-05-03 00:00:00+00:00, 1987-05-04 00:00:00+00:00, 1987-05-05 00:00:00+00:00, 1987-05-06 00:00:00+00:00"
219450.0_136850.0,405/18 | 219450.0_136850.0,43.5d,147,"1979-05-01 00:00:00+00:00, 1979-06-01 00:00:00+00:00, 1979-07-01 00:00:00+00:00, 1979-08-01 00:00:00+00:00, 1979-09-01 00:00:00+00:00"
219500.0_136600.0,405/17 | 219500.0_136600.0,monthly,495,"1979-03-01 00:00:00+00:00, 1979-11-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00"
219520.0_136800.0,405/11 | 219520.0_136800.0,35.0d,152,"1978-04-01 00:00:00+00:00, 1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00, 1978-07-01 00:00:00+00:00, 1978-08-01 00:00:00+00:00"
219600.0_136670.0,405/12 | 219600.0_136670.0,49.0d,141,"1979-06-01 00:00:00+00:00, 1979-07-01 00:00:00+00:00, 1979-08-01 00:00:00+00:00, 1979-09-01 00:00:00+00:00, 1979-10-01 00:00:00+00:00"
219600.0_136790.0,405/13 | 219600.0_136790.0,49.0d,181,"1978-02-01 00:00:00+00:00, 1978-03-01 00:00:00+00:00, 1978-04-01 00:00:00+00:00, 1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00"
219620.0_136750.0,405/7 | 219620.0_136750.0,42.5d,174,"1978-04-01 00:00:00+00:00, 1978-05-01 00:00:00+00:00, 1978-06-01 00:00:00+00:00, 1978-07-01 00:00:00+00:00, 1978-08-01 00:00:00+00:00"
221380.0_145560.0,391/243 | 221380.0_145560.0,monthly,138,"2000-07-01 00:00:00+00:00, 2001-01-01 00:00:00+00:00, 2001-02-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-04-01 00:00:00+00:00"
