site_id,site_label,y_m,x_m,n_obs,first_date,last_date,mean_piezometric_level,freq_label,missing_count,missing_first_5
194920.0_124180.0,432/69 | 194920.0_124180.0,194920.0,124180.0,21,1999-12-01 00:00:00+00:00,2003-01-30 00:00:00+00:00,0.2057143,monthly,21,"2000-01-01 00:00:00+00:00, 2001-03-01 00:00:00+00:00, 2001-07-01 00:00:00+00:00, 2001-08-01 00:00:00+00:00, 2001-09-01 00:00:00+00:00"
197803.0_127596.6,432/68 | 197803.0_127596.6,197803.0,127596.6,283,1978-08-01 00:00:00+00:00,2025-01-03 00:00:00+00:00,-2.0028975,32.0d,445,"1978-09-01 00:00:00+00:00, 1978-10-01 00:00:00+00:00, 1978-11-01 00:00:00+00:00, 1978-12-01 00:00:00+00:00, 1979-01-01 00:00:00+00:00"
199241.8_152684.0,434/280 | 199241.8_152684.0,199241.8,152684.0,569,2001-01-22 00:00:00+00:00,2025-01-10 00:00:00+00:00,38.12826,daily,8186,"2001-01-23 00:00:00+00:00, 2001-01-24 00:00:00+00:00, 2001-01-25 00:00:00+00:00, 2001-01-26 00:00:00+00:00, 2001-01-27 00:00:00+00:00"
199930.2_156971.4,420/12 | 199930.2_156971.4,199930.2,156971.4,262,1979-04-01 00:00:00+00:00,2025-01-10 00:00:00+00:00,53.118816,32.0d,480,"1979-11-01 00:00:00+00:00, 1980-06-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-12-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00"
204253.4_152403.4,420/8 | 204253.4_152403.4,204253.4,152403.4,799,1977-09-01 00:00:00+00:00,2025-01-10 00:00:00+00:00,16.384594,10.0d,404,"1979-11-01 00:00:00+00:00, 1980-02-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-01-01 00:00:00+00:00"
204254.6_152404.1,420/9 | 204254.6_152404.1,204254.6,152404.1,675,1977-09-01 00:00:00+00:00,2025-01-10 00:00:00+00:00,16.764015,daily,16624,"1977-09-02 00:00:00+00:00, 1977-09-03 00:00:00+00:00, 1977-09-04 00:00:00+00:00, 1977-09-05 00:00:00+00:00, 1977-09-06 00:00:00+00:00"
204500.4_154278.7,420/105 | 204500.4_154278.7,204500.4,154278.7,134,2006-01-26 00:00:00+00:00,2025-01-10 00:00:00+00:00,28.939476,32.0d,225,"2006-02-01 00:00:00+00:00, 2006-03-01 00:00:00+00:00, 2006-04-01 00:00:00+00:00, 2006-05-01 00:00:00+00:00, 2006-06-01 00:00:00+00:00"
204980.0_135060.0,418/4 | 204980.0_135060.0,204980.0,135060.0,311,1979-05-01 00:00:00+00:00,2020-02-24 00:00:00+00:00,13.684918,monthly,369,"1979-11-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00, 1981-04-01 00:00:00+00:00"
207520.0_132260.0,418/15 | 207520.0_132260.0,207520.0,132260.0,371,1979-10-01 00:00:00+00:00,2025-01-16 00:00:00+00:00,7.824151,monthly,405,"1979-11-01 00:00:00+00:00, 1980-08-01 00:00:00+00:00, 1980-10-01 00:00:00+00:00, 1981-02-01 00:00:00+00:00, 1981-04-01 00:00:00+00:00"
208900.0_137570.0,405/68 | 208900.0_137570.0,208900.0,137570.0,50,1987-05-13 00:00:00+00:00,1991-07-26 00:00:00+00:00,3.447,monthly,50,"1987-06-01 00:00:00+00:00, 1987-07-01 00:00:00+00:00, 1987-08-01 00:00:00+00:00, 1987-09-01 00:00:00+00:00, 1987-10-01 00:00:00+00:00"
