"data","codigo","precipitacao_dia_mm","nome","coord_x_m","coord_y_m"
1980-04-21,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-22,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-22,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-22,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-22,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-23,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-23,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-23,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-23,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-23,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-24,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-24,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-24,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-24,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-25,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-25,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-25,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-25,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-25,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-26,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-26,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-26,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-26,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-27,"20E/01C",15.5,BARRAGEM DE MAGOS,"151370","224830"
1980-04-27,"17G/02G",3.0,CHAMUSCA,"169523","265977"
1980-04-27,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-27,"19E/01UG",0.3,MUGE,"149977","237501"
1980-04-27,"20E/02UG",1.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-27,"20D/01C",60.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-28,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-04-28,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-29,"18F/01UG",0.3,ALMEIRIM,"158139","249438"
1980-04-29,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-04-29,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-04-29,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-04-29,"19E/01UG",0.0,MUGE,"149977","237501"
1980-04-29,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-04-29,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-04-30,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-01,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-01,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-01,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-01,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-05-01,"19E/01UG",0.0,MUGE,"149977","237501"
1980-05-01,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-01,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-05-02,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-02,"20D/01C",0.8,VILA FRANCA DE XIRA,"129387","219895"
1980-05-03,"18F/01UG",15.0,ALMEIRIM,"158139","249438"
1980-05-03,"20E/01C",5.2,BARRAGEM DE MAGOS,"151370","224830"
1980-05-03,"17G/02G",0.2,CHAMUSCA,"169523","265977"
1980-05-03,"17G/04UG",7.9,CONSTÂNCIA,"182246.173","278641.37"
1980-05-03,"19E/01UG",6.3,MUGE,"149977","237501"
1980-05-03,"20E/02UG",9.5,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-03,"20D/01C",9.5,VILA FRANCA DE XIRA,"129387","219895"
1980-05-04,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-05-05,"18F/01UG",3.0,ALMEIRIM,"158139","249438"
1980-05-05,"20E/01C",4.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-05,"17G/02G",0.4,CHAMUSCA,"169523","265977"
1980-05-05,"17G/04UG",5.7,CONSTÂNCIA,"182246.173","278641.37"
1980-05-05,"19E/01UG",3.6,MUGE,"149977","237501"
1980-05-05,"20E/02UG",3.5,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-06,"20E/02UG",13.5,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-06,"20D/01C",11.0,VILA FRANCA DE XIRA,"129387","219895"
1980-05-07,"18F/01UG",0.3,ALMEIRIM,"158139","249438"
1980-05-07,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-07,"17G/02G",12.6,CHAMUSCA,"169523","265977"
1980-05-07,"17G/04UG",1.8,CONSTÂNCIA,"182246.173","278641.37"
1980-05-07,"19E/01UG",0.0,MUGE,"149977","237501"
1980-05-07,"20E/02UG",1.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-08,"19E/01UG",2.2,MUGE,"149977","237501"
1980-05-08,"20E/02UG",2.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-08,"20D/01C",1.5,VILA FRANCA DE XIRA,"129387","219895"
1980-05-09,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-09,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-09,"17G/02G",1.0,CHAMUSCA,"169523","265977"
1980-05-09,"17G/04UG",0.0,CONSTÂNCIA,"182246.173","278641.37"
1980-05-09,"19E/01UG",0.8,MUGE,"149977","237501"
1980-05-10,"19E/01UG",0.0,MUGE,"149977","237501"
1980-05-10,"20E/02UG",0.0,SANTO ESTEVÃO,"146793.006","210459.811"
1980-05-10,"20D/01C",0.0,VILA FRANCA DE XIRA,"129387","219895"
1980-05-11,"18F/01UG",0.0,ALMEIRIM,"158139","249438"
1980-05-11,"20E/01C",0.0,BARRAGEM DE MAGOS,"151370","224830"
1980-05-11,"17G/02G",0.0,CHAMUSCA,"169523","265977"
1980-05-11,"17G/04UG",0.2,CONSTÂNCIA,"182246.173","278641.37"
