id,data,codigo,condutividade,condcamp20c,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
680,2018-09-03 00:00:00+00,353/30,510.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
681,2020-03-02 00:00:00+00,353/30,437.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
682,2020-09-07 00:00:00+00,353/30,507.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
683,2021-03-01 00:00:00+00,353/30,452.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
684,2021-09-06 00:00:00+00,353/30,481.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
685,2023-03-27 00:00:00+00,353/30,794.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
686,2023-09-04 00:00:00+00,353/30,864.00,,153980.00,253010.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,SANTA IRIA DA RIBEIRA DE SANTARÉM,2025-07-17 14:16:15.142609+00
806,2004-03-10 00:00:00+00,330/230,,214.00,174000.00,271850.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:16:15.142609+00
1062,2006-03-13 00:00:00+00,330/230,,262.00,174000.00,271850.00,,T7 - ALUVIÕES DO TEJO,,,2025-07-17 14:16:16.360211+00
1119,2014-05-15 00:00:00+00,330/22,256.00,,174332.00,270792.00,25,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,PINHEIRO GRANDE,2025-07-17 14:16:16.360211+00
