id,data,codigo,nitrato,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
521,2011-03-23 09:40:00+00,341/241,2.000,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
522,2012-12-10 10:15:00+00,341/241,1.0,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
523,2013-04-17 09:55:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
524,2013-11-29 13:45:00+00,341/241,2.000,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
525,2014-04-22 10:15:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
526,2014-10-28 09:50:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
527,2015-04-20 12:10:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
528,2015-11-16 09:25:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
529,2016-04-26 08:55:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
530,2016-10-24 00:00:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
531,2017-03-21 10:50:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
532,2017-10-25 00:00:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
533,2018-04-16 09:15:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
534,2018-10-17 09:15:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
535,2019-03-20 09:40:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
536,2019-11-14 09:15:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
537,2020-03-10 09:15:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
538,2020-10-19 09:05:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
539,2021-03-09 09:50:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
540,2021-11-03 09:20:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
541,2022-04-11 10:00:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
542,2022-10-19 09:30:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
543,2023-03-07 10:00:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
544,2023-10-16 09:20:00+00,341/241,0.890,165643.00,266170.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,AZINHAGA,2025-07-17 14:15:52.981546+00
545,2000-03-20 00:00:00+00,341/242,0.18,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
546,2000-10-09 00:00:00+00,341/242,0.18,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
547,2002-03-25 00:00:00+00,341/242,0.18,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
548,2002-10-07 00:00:00+00,341/242,0.84,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
549,2003-03-25 00:00:00+00,341/242,0.84,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
550,2003-11-26 00:00:00+00,341/242,0.66,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
551,2004-04-05 00:00:00+00,341/242,0.66,163850.00,263000.00,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,POMBALINHO,2025-07-17 14:15:52.981546+00
