id,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,created_at
78,1978-05-15 00:00:00+00,432/73,18.68,32.32,131160.00,193590.00,51.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
79,1978-05-29 00:00:00+00,405/7,1.52,2.48,136750.00,219620.00,4.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
80,1978-05-29 00:00:00+00,420/8,20.51,23.49,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
81,1978-05-29 00:00:00+00,405/13,0.63,4.37,136790.00,219600.00,5.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
82,1978-05-29 00:00:00+00,405/11,0.63,9.37,136800.00,219520.00,10.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
83,1978-05-29 00:00:00+00,404/62,0.38,1.62,133890.00,217840.00,2.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
84,1978-05-29 00:00:00+00,404/61,-4.66,7.66,133940.00,217820.00,3.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
86,1978-06-01 00:00:00+00,420/8,20.46,23.54,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
87,1978-06-01 00:00:00+00,420/9,20.73,23.27,152404.10,204254.60,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
88,1978-06-19 00:00:00+00,432/73,18.92,32.08,131160.00,193590.00,51.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,ATALAIA,2025-07-17 14:16:33.426554+00
89,1978-06-20 00:00:00+00,420/8,20.46,23.54,152403.40,204253.40,44.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,CANHA,2025-07-17 14:16:33.426554+00
90,1978-06-20 00:00:00+00,405/7,1.48,2.52,136750.00,219620.00,4.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
91,1978-06-20 00:00:00+00,405/13,0.68,4.32,136790.00,219600.00,5.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
92,1978-06-20 00:00:00+00,405/11,0.84,9.16,136800.00,219520.00,10.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,SAMORA CORREIA,2025-07-17 14:16:33.426554+00
93,1978-06-20 00:00:00+00,404/62,0.26,1.74,133890.00,217840.00,2.00,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,VILA FRANCA DE XIRA,2025-07-17 14:16:33.426554+00
