"data","codigo","condutividade","condcamp20c","coord_x_m","coord_y_m","altitude_m","sistema_aquifero","estado","freguesia"
2017-10-24 00:00:00.000,"319/26",648.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2018-06-13 00:00:00.000,"319/26",586.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2018-10-30 00:00:00.000,"319/26",854.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2019-06-25 00:00:00.000,"319/26",711.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2020-06-24 00:00:00.000,"319/26",251.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2020-10-21 00:00:00.000,"319/26",606.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2021-05-19 00:00:00.000,"319/26",576.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2021-09-28 00:00:00.000,"319/26",573.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2022-04-28 00:00:00.000,"319/26",574.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2022-09-27 00:00:00.000,"319/26",589.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2023-06-01 00:00:00.000,"319/26",577.0,,159690,280450,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ZIBREIRA
2015-06-23 00:00:00.000,"319/44",619.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2016-06-28 00:00:00.000,"319/44",538.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2016-09-28 00:00:00.000,"319/44",655.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2017-06-08 00:00:00.000,"319/44",554.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2017-10-11 00:00:00.000,"319/44",579.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2018-06-26 00:00:00.000,"319/44",534.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2018-10-30 00:00:00.000,"319/44",563.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2019-06-25 00:00:00.000,"319/44",561.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2019-09-25 00:00:00.000,"319/44",566.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2020-06-24 00:00:00.000,"319/44",254.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2020-10-21 00:00:00.000,"319/44",541.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2021-05-19 00:00:00.000,"319/44",539.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2021-09-28 00:00:00.000,"319/44",555.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2022-09-27 00:00:00.000,"319/44",553.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2023-06-01 00:00:00.000,"319/44",560.0,,163881,284235,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,PEDRÓGÃO
2000-04-12 00:00:00.000,"319/67",,772.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2000-10-25 00:00:00.000,"319/67",,653.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2001-03-12 00:00:00.000,"319/67",,652.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2001-10-23 09:55:00.000,"319/67",,748.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2002-03-11 00:00:00.000,"319/67",,636.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2002-10-29 00:00:00.000,"319/67",,722.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2003-03-17 00:00:00.000,"319/67",,744.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2003-11-17 00:00:00.000,"319/67",,710.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2004-04-14 00:00:00.000,"319/67",,647.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2004-10-19 00:00:00.000,"319/67",,793.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2006-03-27 00:00:00.000,"319/67",,727.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2006-10-03 00:00:00.000,"319/67",,726.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2002-03-11 00:00:00.000,"329/10",,417.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2007-04-04 00:00:00.000,"319/67",,720.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2007-10-15 00:00:00.000,"319/67",,730.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2008-02-27 00:00:00.000,"319/67",,620.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2008-10-01 00:00:00.000,"319/67",,740.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2009-04-13 00:00:00.000,"319/67",,710.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2009-09-21 00:00:00.000,"319/67",,650.0,165030,280100,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SÃO PEDRO)
2015-03-23 00:00:00.000,"328/8",116.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2015-09-28 00:00:00.000,"328/8",194.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2016-09-26 00:00:00.000,"328/8",126.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2017-03-27 00:00:00.000,"328/8",230.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2017-09-25 00:00:00.000,"328/8",200.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2018-04-02 00:00:00.000,"328/8",310.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2019-04-01 00:00:00.000,"328/8",310.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2019-09-23 00:00:00.000,"328/8",200.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2020-09-28 00:00:00.000,"328/8",170.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2021-03-22 00:00:00.000,"328/8",223.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2021-09-27 00:00:00.000,"328/8",322.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2022-03-21 00:00:00.000,"328/8",208.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2022-10-03 00:00:00.000,"328/8",217.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2023-03-27 00:00:00.000,"328/8",117.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2023-09-25 00:00:00.000,"328/8",213.0,,151130,270220,"50",T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,ARNEIRO DAS MILHARIÇAS
2012-03-21 00:00:00.000,"328/80",625.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2012-09-19 00:00:00.000,"328/80",623.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2013-06-12 00:00:00.000,"328/80",590.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2013-09-11 00:00:00.000,"328/80",622.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2014-03-12 00:00:00.000,"328/80",620.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2014-09-10 00:00:00.000,"328/80",624.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2015-03-11 00:00:00.000,"328/80",617.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2015-09-16 00:00:00.000,"328/80",621.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2016-03-09 00:00:00.000,"328/80",619.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2016-09-21 00:00:00.000,"328/80",620.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2017-03-03 00:00:00.000,"328/80",667.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2017-09-20 00:00:00.000,"328/80",609.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2018-03-07 00:00:00.000,"328/80",610.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2018-09-05 00:00:00.000,"328/80",630.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2019-03-13 00:00:00.000,"328/80",620.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2019-09-04 00:00:00.000,"328/80",611.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2020-04-22 00:00:00.000,"328/80",605.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2020-10-14 00:00:00.000,"328/80",624.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2021-04-13 00:00:00.000,"328/80",623.0,,150390,275128,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2012-08-22 00:00:00.000,"328/81",137.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2012-11-21 00:00:00.000,"328/81",159.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2013-06-12 00:00:00.000,"328/81",175.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2013-09-11 00:00:00.000,"328/81",141.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2014-03-12 00:00:00.000,"328/81",122.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2014-09-10 00:00:00.000,"328/81",140.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2015-03-11 00:00:00.000,"328/81",157.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2015-09-16 00:00:00.000,"328/81",165.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2016-03-09 00:00:00.000,"328/81",156.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2016-09-21 00:00:00.000,"328/81",138.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2017-03-08 00:00:00.000,"328/81",136.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2017-09-20 00:00:00.000,"328/81",137.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2018-03-07 00:00:00.000,"328/81",143.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2018-09-05 00:00:00.000,"328/81",140.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2019-03-13 00:00:00.000,"328/81",136.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2020-05-20 00:00:00.000,"328/81",130.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2020-10-14 00:00:00.000,"328/81",120.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2021-04-13 00:00:00.000,"328/81",118.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2021-10-20 00:00:00.000,"328/81",114.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2022-04-12 00:00:00.000,"328/81",114.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2022-10-11 00:00:00.000,"328/81",117.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2023-03-08 00:00:00.000,"328/81",116.0,,147839,272989,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
2000-04-12 00:00:00.000,"329/10",,500.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2000-10-25 00:00:00.000,"329/10",,412.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2001-10-23 11:40:00.000,"329/10",,480.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2006-09-13 00:00:00.000,"330/231",,421.0,175050,275180,,T7 - ALUVIÕES DO TEJO,,
2002-10-29 00:00:00.000,"329/10",,458.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2003-03-17 00:00:00.000,"329/10",,489.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2003-11-17 00:00:00.000,"329/10",,469.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2004-04-14 00:00:00.000,"329/10",,432.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2004-10-19 00:00:00.000,"329/10",,547.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2006-03-27 00:00:00.000,"329/10",,534.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2006-10-03 00:00:00.000,"329/10",,530.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2007-04-04 00:00:00.000,"329/10",,500.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2007-10-15 00:00:00.000,"329/10",,550.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2008-02-27 00:00:00.000,"329/10",,540.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2008-10-01 00:00:00.000,"329/10",,500.0,167430,271260,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2000-04-12 00:00:00.000,"329/11",,771.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2000-10-25 00:00:00.000,"329/11",,641.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2001-03-12 00:00:00.000,"329/11",,639.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2001-10-23 11:00:00.000,"329/11",,752.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2002-03-11 00:00:00.000,"329/11",,648.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2002-10-29 00:00:00.000,"329/11",,719.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2003-03-17 00:00:00.000,"329/11",,757.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2003-11-17 00:00:00.000,"329/11",,730.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2004-04-14 00:00:00.000,"329/11",,684.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2004-10-19 00:00:00.000,"329/11",,820.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2006-03-27 00:00:00.000,"329/11",,739.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2006-10-03 00:00:00.000,"329/11",,753.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2007-04-04 00:00:00.000,"329/11",,740.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2007-10-15 00:00:00.000,"329/11",,760.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2008-02-27 00:00:00.000,"329/11",,760.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2008-10-01 00:00:00.000,"329/11",,760.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2009-04-13 00:00:00.000,"329/11",,740.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2009-09-21 00:00:00.000,"329/11",,700.0,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2017-06-13 00:00:00.000,"329/11",936.0,,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2017-10-11 00:00:00.000,"329/11",915.0,,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2018-07-11 00:00:00.000,"329/11",899.0,,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2018-10-30 00:00:00.000,"329/11",872.0,,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2019-09-11 00:00:00.000,"329/11",974.0,,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2020-11-25 00:00:00.000,"329/11",787.0,,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2021-05-19 00:00:00.000,"329/11",921.0,,166950,273170,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,RIACHOS
2000-04-12 00:00:00.000,"329/150",,580.0,167360,271230,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2000-10-25 00:00:00.000,"329/150",,484.0,167360,271230,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2001-10-23 11:20:00.000,"329/150",,563.0,167360,271230,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2002-03-11 00:00:00.000,"329/150",,479.0,167360,271230,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2002-10-29 00:00:00.000,"329/150",,532.0,167360,271230,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2003-03-17 00:00:00.000,"329/150",,581.0,167360,271230,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2003-11-17 00:00:00.000,"329/150",,554.0,167360,271230,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2004-04-14 00:00:00.000,"329/150",,492.0,167360,271230,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2004-10-19 00:00:00.000,"329/150",,599.0,167360,271230,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,GOLEGÃ
2000-04-12 00:00:00.000,"329/258",,842.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2000-10-25 00:00:00.000,"329/258",,714.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2001-03-12 00:00:00.000,"329/258",,723.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2001-10-23 10:25:00.000,"329/258",,831.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2002-03-11 00:00:00.000,"329/258",,723.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2002-10-29 00:00:00.000,"329/258",,804.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2003-03-17 00:00:00.000,"329/258",,833.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2003-11-17 00:00:00.000,"329/258",,794.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2004-04-14 00:00:00.000,"329/258",,711.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2004-10-19 00:00:00.000,"329/258",,858.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2006-03-27 00:00:00.000,"329/258",,765.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2006-10-03 00:00:00.000,"329/258",,756.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2007-04-04 00:00:00.000,"329/258",,750.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2007-10-15 00:00:00.000,"329/258",,730.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2008-02-27 00:00:00.000,"329/258",,720.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2008-10-01 00:00:00.000,"329/258",,720.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2009-04-13 00:00:00.000,"329/258",,710.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2009-09-21 00:00:00.000,"329/258",,650.0,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2015-06-23 00:00:00.000,"329/258",856.0,,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
2016-11-24 00:00:00.000,"329/258",747.0,,164530,277690,,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,TORRES NOVAS (SANTA MARIA)
